type,set_number,surface_number,height,diameter,o,spacing,intensity,friction_coef,vibration_rms,vibration_max_freq
Glissant,1,1,0.027,0.107,0.0130,0.1201,7.0,4.2,0.27,267.92
Glissant,1,38,0.025,0.107,0.027,0.1345,7.5,4.4,0.68,238.04
Glissant,1,39,0.024,0.107,0.053,0.1601,6.9,3.7,0.53,191.76
Rugueux,1,4,0.018,0.109,0.309,0.4174,8.8,1.8,0.84,127.52
Rugueux,1,5,0.017,0.107,0.408,0.5156,9.9,2.2,0.77,66.01
Rugueux,1,6,0.016,0.108,0.508,0.6156,9.3,2.6,0.50,98.15
Rugueux,1,7,0.018,0.106,0.610,0.7159,9.5,2.0,0.44,115.03
Rugueux,1,8,0.018,0.111,0.709,0.8197,9.2,2.5,0.34,97.92
Rugueux,1,9,0.017,0.111,0.810,0.9210,8.5,2.2,0.23,98.29
Rugueux,1,10,0.019,0.106,0.915,1.0210,9.4,3.1,0.60,100.41
Vibrante,1,2,0.019,0.107,0.112,0.2195,6.1,1.8,0.70,147.35
Vibrante,1,3,0.018,0.107,0.210,0.3172,15.2,1.6,0.70,148.62
Vibrante,2,29,0.004,0.110,0.111,0.2204,4.6,1.1,0.81,171.63
Vibrante,2,30,0.011,0.107,0.112,0.2186,6.0,1.8,0.56,143.93
Vibrante,2,2,0.019,0.107,0.112,0.2195,6.1,1.8,0.70,147.35
Vibrante,2,31,0.027,0.107,0.112,0.2185,6.1,1.9,0.46,140.45
Vibrante,2,32,0.033,0.107,0.112,0.2184,5.3,1.7,0.94,205.63
Vibrante,2,33,0.038,0.108,0.110,0.2180,6.8,2.1,0.60,142.86
Vibrante,2,34,0.043,0.108,0.112,0.2196,7.2,1.7,0.57,140.15
Vibrante,2,35,0.051,0.109,0.109,0.2179,6.1,1.9,0.47,143.16
Vibrante,2,36,0.057,0.107,0.111,0.2181,6.4,1.8,0.60,144.55
Vibrante,2,37,0.062,0.108,0.110,0.2182,6.7,2.0,0.46,145.74
Vibrante,3,55,0.005,0.210,0.106,0.3166,8.0,3.6,0.98,99.34
Vibrante,3,56,0.014,0.207,0.111,0.3175,10.0,3.6,1.05,98.73
Vibrante,3,12,0.022,0.206,0.113,0.3183,8.6,2.9,0.80,101.25
Vibrante,3,57,0.031,0.207,0.111,0.3185,8.9,3.0,0.84,100.13
Vibrante,3,58,0.038,0.207,0.111,0.3178,8.1,3.5,0.87,98.88
Vibrante,3,59,0.046,0.206,0.111,0.3170,9.4,2.3,0.86,101.28
Vibrante,3,60,0.051,0.206,0.112,0.3183,9.3,3.0,0.58,96.06
Vibrante,3,61,0.060,0.208,0.109,0.3170,10.3,3.6,0.62,96.78
Vibrante,3,62,0.067,0.205,0.113,0.3180,9.8,3.5,0.80,102.52
Vibrante,3,63,0.073,0.208,0.111,0.3181,9.7,3.2,0.82,98.04
Glissant,4,44,0.0153,0.0123,0.1134,0.1257,16.2,0.7,0.37,335.29
Glissant,4,40,0.0179,0.0216,0.1132,0.1348,15.5,0.9,0.48,223.68
Glissant,4,41,0.0195,0.0463,0.1139,0.1602,12.6,1.3,0.71,194.28
Vibrante,4,45,0.0183,0.0717,0.1126,0.1843,5.5,1.9,0.63,173.18
Vibrante,4,2,0.0186,0.1074,0.1121,0.2195,6.1,1.8,0.70,147.35
Vibrante,4,12,0.0223,0.2057,0.1126,0.3183,8.6,2.9,0.80,101.25
Vibrante,4,13,0.0242,0.3060,0.1146,0.4206,11.6,3.4,0.64,91.28
Vibrante,4,14,0.0261,0.4049,0.1151,0.5200,12.3,3.6,0.58,67.95
Vibrante,4,15,0.0265,0.5019,0.1138,0.6157,11.4,4.1,0.72,50.05
Vibrante,4,16,0.0283,0.5990,0.1150,0.7140,9.6,3.5,0.48,153.69
Vibrante,4,17,0.0276,0.6985,0.1149,0.8134,9.9,3.9,0.54,81.79
Vibrante,4,18,0.0292,0.7967,0.1162,0.9129,10.1,3.6,0.46,68.36
Vibrante,4,19,0.0277,0.9038,0.1153,1.0191,9.3,4.2,0.42,111.33
Glissant,5,42,0.0192,0.0218,0.0283,0.0501,13.2,2.0,0.21,413.47
Glissant,5,43,0.0217,0.0462,0.0540,0.1002,10.4,2.3,0.46,301.97
Rugueux,5,21,0.0186,0.2097,0.2075,0.4172,7.1,1.5,0.62,72.88
Rugueux,5,22,0.0200,0.3083,0.3090,0.6173,9.2,2.1,0.84,48.32
Rugueux,5,23,0.0195,0.4080,0.4107,0.8187,10.1,2.0,0.48,106.30
Rugueux,5,24,0.0185,0.5068,0.5099,1.0167,10.7,2.6,0.37,67.75
Rugueux,5,25,0.0202,0.6077,0.6111,1.2188,12.6,2.8,0.36,77.49
Rugueux,5,26,0.0217,0.7042,0.7122,1.4164,12.3,2.4,0.45,77.49
Rugueux,5,27,0.0198,0.8018,0.8123,1.6141,12.7,2.3,0.37,65.02
Rugueux,5,28,0.0208,0.9050,0.9093,1.8143,13.1,2.5,0.41,119.02
Vibrante,5,2,0.0186,0.1074,0.1121,0.2195,6.1,1.8,0.70,147.35
